order_id,order_date,customer_name,customer_email,customer_phone,customer_address,product_name,product_category,sales_channel,supplier,units_sold,revenue,inventory_on_hand,shipping_status,delivery_days,return_flag,return_reason
ORD-100015,not-a-date,Vincent Waters,virginiamiller@example.org,395.270.2624x1386,"6071 Brown Walk Suite 997, North Rebeccaton, NY 43640",Barcode Scanner,Warehouse,Phone Order,Metro Packaging,5,641.1,49,Delivered,3,False,No return
ORD-100016,2026-04-02,Erin Stevens,melaniebird@example.org,001-540-844-8439x037,"39365 Lamb Burgs, Kingburgh, OK 05181",Barcode Scanner,Warehouse,Phone Order,Evergreen Wholesale,4,584.89,36,Delivered,5,False,No return
ORD-100017,2026-04-08,Michael Burns,ylam@example.org,(816)838-1439,"9128 Klein Curve Suite 733, Lake Beverlyburgh, ND 34650",Smart Scale,Warehouse,Wholesale Portal,BlueRiver Fulfillment,3,450.03,13,Delayed,8,True,Late delivery
ORD-100018,2026-03-31,Jessica Smith,qthompson@example.org,481.693.0374,"8494 Morales Ports, Maryshire, NJ 39131",Laptop Stand,Accessories,Phone Order,Evergreen Wholesale,1,27.72,48,Delivered,4,False,No return
ORD-100019,2026-03-17,Joseph Mays,harrisjohnny@example.org,001-834-926-4990x3600,"98218 Robin Ford, West Johnview, HI 40567",Desk Lamp,Office,Wholesale Portal,Evergreen Wholesale,4,175.19,60,Exception,9,True,Changed mind
ORD-100020,2026-04-16,Elizabeth Parker,qriley@example.org,(487)316-5748,"391 Martin Walks Suite 396, Antonioburgh, TN 48075",Wireless Mouse,Accessories,Phone Order,Evergreen Wholesale,3,112.11,35,Delivered,2,False,No return
ORD-100020,2026-03-29,Heather Bennett,walleryesenia@example.org,3029578404,"249 Richard Estate, Fieldsshire, PA 90224",Barcode Scanner,Warehouse,Phone Order,Evergreen Wholesale,1,98.15,33,Delivered,4,False,No return
ORD-100022,2026-03-07,Danielle Anderson,mdaniels@example.com,+1-849-216-7322x0254,"04666 Madeline Lodge, Longmouth, SD 86365",Wireless Mouse,Accessories,Shopify,Northstar Supply,7,256.33,61,Delivered,4,False,No return
ORD-100023,2026-04-05,Jennifer Rowe,marcus61@example.com,517-896-4818x9101,"726 Nunez Parkways Apt. 462, North Katie, NE 98083",Laptop Stand,Accessories,Phone Order,Northstar Supply,2,68.19,2,Delayed,8,False,No return
ORD-100024,2026-03-27,Robert Cole,yrosario@example.org,+1-891-814-3995x80859,"324 Kimberly Court, Transtad, UT 85623",Packing Tape,Packaging,Phone Order,Metro Packaging,7,120.05,54,Delivered,2,False,No return
ORD-100025,2026-03-07,Ashley Bell MD,blackjohn@example.com,+1-402-518-1898,"2310 Mcdaniel Stravenue, West Daniel, ND 28385",Thermal Label Roll,Packaging,Amazon Marketplace,Evergreen Wholesale,4,70.3,36,Delivered,6,False,No return
ORD-100026,2026-04-18,Ashley Nelson,brandonward@example.org,+1-923-643-2781,"74138 Brandon Port, Richardport, NE 97697",Desk Lamp,Office,Amazon Marketplace,BlueRiver Fulfillment,2,79.5,21,Delivered,3,True,Wrong size
ORD-100027,2026-04-20,Jonathan Martinez,moorejoseph@example.org,001-410-949-3169x7051,"PSC 0733, Box 6426, APO AE 42990",Wireless Mouse,Accessories,Wholesale Portal,Evergreen Wholesale,4,151.56,55,Delivered,1,False,No return
ORD-100028,2026-05-03,Regina Farmer,melissamiller@example.net,001-739-704-0294x35814,"7453 Johnson Camp, Lake Tanyatown, IA 17882",Reusable Mailer,Packaging,Amazon Marketplace,Cascade Imports,6,105.33,46,Delivered,1,False,No return
ORD-100029,2026-04-10,Elizabeth Wilson,michelle17@example.com,(580)846-1433,"PSC 8760, Box 8237, APO AE 81487",Laptop Stand,Accessories,Amazon Marketplace,Cascade Imports,4,146.09,85,Delivered,4,False,No return
ORD-100030,2026-04-20,Matthew Johnson,iperkins@example.net,001-703-936-0630x70506,"PSC 4504, Box 0052, APO AA 29738",Thermal Label Roll,Packaging,Amazon Marketplace,Evergreen Wholesale,1,13.39,50,Delivered,4,False,No return
ORD-100031,2026-04-15,April West,marybryan@example.org,(586)481-2387,"517 Williams Village, Lewismouth, WA 75647",Thermal Label Roll,Packaging,Wholesale Portal,Cascade Imports,2,39.76,81,Delivered,4,False,No return
ORD-100032,2026-04-04,Melissa Neal,nunezjustin@example.net,+1-301-248-5692x827,"06219 David Stravenue, Pacefort, MP 91129",USB-C Hub,Accessories,Wholesale Portal,Northstar Supply,2,66.24,35,Delivered,2,False,No return
ORD-100033,2026-04-11,Samantha Wilson,danielswillie@example.org,001-738-917-9834x665,"910 Davis Valley Apt. 696, South Wendy, NV 92219",Wireless Mouse,Accessories,Wholesale Portal,Metro Packaging,4,149.72,8,Delivered,3,False,No return
ORD-100034,2026-03-25,Patricia Rodriguez DVM,amandawhitaker@example.com,+1-542-295-5427x13147,"USNV Rogers, FPO AE 72376",Thermal Label Roll,Packaging,Shopify,BlueRiver Fulfillment,3,55.41,94,Delivered,5,False,No return
ORD-100035,2026-04-03,Stacey Bell,obarnes@example.com,(664)824-7079,"27612 Nicholas Plains Suite 998, Archerburgh, RI 38467",Laptop Stand,Accessories,Amazon Marketplace,Northstar Supply,5,183.73,0,Delayed,7,False,No return
ORD-100036,2026-04-04,Shawn Hardin,owenskeith@example.com,211.696.4368x2838,"279 Johnston Lock Apt. 120, North Robert, AZ 32649",Smart Scale,Warehouse,Wholesale Portal,Northstar Supply,6,811.55,29,Delivered,3,True,Damaged item
ORD-100037,2026-03-19,Brooke Dixon,lori84@example.com,+1-213-234-1329x831,"6073 Green Shoal Apt. 777, Rodriguezborough, MH 16429",Thermal Label Roll,Packaging,Amazon Marketplace,Cascade Imports,2,40.8,41,Delivered,4,False,No return
ORD-100038,2026-03-02,Isaac Avila,dibarra@example.net,001-769-390-6901x00473,"313 David Trafficway, Estradatown, MA 58260",Packing Tape,Packaging,Shopify,BlueRiver Fulfillment,3,46.46,43,Delivered,3,False,No return
ORD-100039,2026-04-08,Kevin Bell,murraygina@example.com,447-480-2155x3362,"98301 Harrison Ranch, West Alyssaborough, IA 72443",Desk Lamp,Office,Phone Order,Metro Packaging,6,271.47,32,Delivered,5,False,No return
ORD-100040,2026-04-20,Wanda Duncan,jerrymontes@example.org,+1-963-404-8492x41653,"0811 Mary Well, West Manuelmouth, PW 84801",Reusable Mailer,Packaging,Amazon Marketplace,Metro Packaging,7,121.66,98,Delivered,2,True,Changed mind
ORD-100041,2026-03-17,Cody Green,greenearthur@example.com,+1-688-259-2693x4528,"8825 Kevin Knoll, Port Kyle, TX 37705",Laptop Stand,Accessories,Amazon Marketplace,Cascade Imports,3,115.55,68,Delivered,2,False,No return
ORD-100042,2026-04-28,Sandra Wagner,lschaefer@example.org,+1-313-635-4620x9923,"8492 Poole Greens, Blevinsstad, CT 50159",Barcode Scanner,Warehouse,Shopify,Evergreen Wholesale,5,694.52,28,Delayed,8,False,No return
ORD-100043,2026-03-21,Sue Pierce,davidtorres@example.org,3478617483,"25546 Martin Burg Suite 375, Jasonbury, TN 91010",Desk Lamp,Office,Wholesale Portal,Metro Packaging,2,84.88,13,Delivered,1,False,No return
ORD-100044,2026-03-12,Terry Rodriguez,andrewbutler@example.com,760-643-0137x978,"14757 Michael Land, Stephaniestad, UT 24296",Desk Lamp,Office,Wholesale Portal,Northstar Supply,2,107.76,42,Delivered,4,False,No return
ORD-100045,2026-05-02,Valerie Rose,rmartin@example.com,325.301.1272,"4371 Peterson Mountain, Wandaberg, PW 83219",USB-C Hub,Accessories,Shopify,BlueRiver Fulfillment,1,47.75,34,Delivered,4,False,No return
ORD-100046,2026-04-06,Jeffrey Collins,daleporter@example.net,608-886-7612x239,"3143 Ford Extension Suite 079, Jonathanton, PW 20753",Mechanical Keyboard,Accessories,Shopify,Cascade Imports,3,111.86,49,Exception,12,True,Damaged item
ORD-100047,2026-03-27,Michelle Robinson,browntheresa@example.com,747.997.7118x1869,"92466 Rojas Creek, Andrewville, OH 49857",Wireless Mouse,Accessories,Wholesale Portal,BlueRiver Fulfillment,1,23.69,88,Delivered,7,False,No return
ORD-100048,2026-05-05,Zachary Bishop,qrodriguez@example.org,(526)385-2448x20438,"72213 Nelson Plains Suite 395, Brittanybury, IA 11908",Desk Lamp,Office,Amazon Marketplace,Metro Packaging,7,310.69,17,Delivered,6,False,No return
ORD-100049,2026-03-11,Danielle Robles,joseandrade@example.net,(246)834-8378x25876,"90950 Bowers Light Suite 113, West Katie, MO 72643",Laptop Stand,Accessories,Wholesale Portal,Cascade Imports,2,77.79,44,Delivered,3,False,No return
ORD-100050,2026-03-22,Jacob Jenkins,amanda03@example.net,875.689.7928x0648,"04095 Jackson Light Apt. 162, Cookmouth, AR 59503",Smart Scale,Warehouse,Wholesale Portal,Evergreen Wholesale,4,571.82,47,Delivered,6,False,No return
ORD-100051,2026-03-11,Barry Edwards,aprilmosley@example.com,+1-418-420-9655x458,"323 Vance Row, Crystaltown, AR 68937",Barcode Scanner,Warehouse,Shopify,Northstar Supply,1,68.24,23,Delivered,3,False,No return
ORD-100052,2026-04-17,Roberto Olson,jerry53@example.net,001-653-831-1850x0158,"40448 Amber Mill, Lake Karen, NM 47261",Mechanical Keyboard,Accessories,Shopify,Cascade Imports,6,208.1,67,Delivered,3,False,No return
ORD-100053,2026-04-10,Elizabeth Jones,clarkarthur@example.com,272-492-0138x987,"84114 Stacey Haven, Nicolefurt, MP 97199",Wireless Mouse,Accessories,Wholesale Portal,Northstar Supply,1,36.28,36,Delayed,8,False,No return
ORD-100054,2026-04-21,Stephen Howard,lucerorobin@example.org,001-820-957-6714x73333,"38984 Scott Manors Apt. 070, North Ryanburgh, PA 11946",Reusable Mailer,Packaging,Phone Order,Cascade Imports,1,20.42,41,Delayed,11,False,No return
ORD-100055,2026-04-04,Sara Moody,migueljacobs@example.net,524.944.1002x39336,"6318 Lopez Manors, South Cathy, MI 65101",USB-C Hub,Accessories,Wholesale Portal,Evergreen Wholesale,7,249.99,49,Delivered,4,False,No return
ORD-100056,2026-05-04,Jeffery Elliott,fordjason@example.org,6909573331,"8643 Jennifer Lakes, Jamesburgh, HI 30828",Barcode Scanner,Warehouse,Amazon Marketplace,Northstar Supply,6,843.17,107,Delivered,4,False,No return
ORD-100057,2026-03-08,Michele Curtis,melanie73@example.net,001-637-453-6364x8383,"569 Thomas Mill, Martintown, NC 21141",Packing Tape,Packaging,Phone Order,Cascade Imports,2,32.16,8,Delivered,3,False,No return
ORD-100058,2026-04-11,Benjamin Rice,bruce75@example.net,(711)423-6976x6863,"87960 Mathew Cove Apt. 561, Bradleyshire, GA 64177",Smart Scale,Warehouse,Wholesale Portal,BlueRiver Fulfillment,5,711.05,26,Delivered,6,False,No return
ORD-100059,2026-04-24,Mr. Michael Mitchell,sara90@example.org,(778)902-0572,"54319 John Station Suite 367, West Shannonborough, ND 43261",Smart Scale,Warehouse,Wholesale Portal,Cascade Imports,2,204.84,18,Delivered,3,False,No return
ORD-100060,2026-04-25,Brittney Conner,jacqueline59@example.com,(739)326-0705,"57249 Romero Pike Suite 094, Lake Amanda, UT 40975",Mechanical Keyboard,Accessories,Wholesale Portal,Evergreen Wholesale,7,271.9,16,Delivered,2,False,No return
ORD-100061,2026-03-08,Rachel Jones,amy26@example.org,312.744.5105,"735 Diane Stream, East Williamborough, WI 25253",Mechanical Keyboard,Accessories,Amazon Marketplace,BlueRiver Fulfillment,5,164.18,98,Delivered,1,False,No return
ORD-100062,2026-03-19,Cory Rivera,tsmith@example.net,+1-339-800-1302x4346,"PSC 4643, Box 1672, APO AA 44330",Smart Scale,Warehouse,Shopify,Cascade Imports,2,241.61,117,Delivered,7,False,No return
ORD-100063,2026-05-01,Michael Shaw,ryan54@example.org,(589)870-4698,"USS Olsen, FPO AA 09267",Wireless Mouse,Accessories,Wholesale Portal,Northstar Supply,1,32.69,88,Delayed,9,False,No return
ORD-100064,2026-03-23,April Smith,john12@example.net,001-520-841-3167x48985,"7388 Steven Mission, New Williamborough, AR 70245",USB-C Hub,Accessories,Wholesale Portal,Cascade Imports,3,105.79,55,Delivered,5,False,No return
ORD-100065,2026-03-11,Alexis Barnett,chase43@example.org,631.667.2250x800,"8724 Tina Terrace, South Kristen, NV 35306",Smart Scale,Warehouse,Shopify,Evergreen Wholesale,2,275.32,39,Delivered,1,False,No return
ORD-100066,2026-04-19,Melinda Hunt,trobinson@example.net,273-218-8971x24690,"09469 Christopher Highway Suite 084, East Mistyport, MT 05438",Smart Scale,Warehouse,Phone Order,Northstar Supply,1,148.13,56,Delayed,7,False,No return
ORD-100067,2026-04-06,Melanie Love,perezandrea@example.com,7146016994,"191 Timothy Locks Apt. 548, Dayburgh, MH 03532",Laptop Stand,Accessories,Wholesale Portal,BlueRiver Fulfillment,5,181.4,46,Delivered,4,False,No return
ORD-100068,2026-04-21,Ashley Morgan,mannsue@example.org,001-261-620-2113x172,"9046 Steve Vista Apt. 840, East Ericton, MP 59128",Laptop Stand,Accessories,Amazon Marketplace,Northstar Supply,7,245.51,6,Delivered,4,False,No return
ORD-100069,2026-03-18,Jennifer Hinton,james02@example.org,(852)574-8486,"469 Mcclure Common, Lake Meagan, LA 96779",Barcode Scanner,Warehouse,Phone Order,Cascade Imports,5,713.5,17,Delayed,7,False,No return
ORD-100070,2026-04-09,Russell Moore,andradekathryn@example.org,9934203106,"90602 Pierce Village Apt. 152, South Christian, NJ 50772",USB-C Hub,Accessories,Amazon Marketplace,Evergreen Wholesale,1,38.36,1,Delayed,9,False,No return
ORD-100071,2026-04-28,Kevin Burnett,fleach@example.com,(755)377-9032,"2964 Kyle Islands, Kennedyview, FL 88914",Wireless Mouse,Accessories,Phone Order,Metro Packaging,6,220.09,33,Delivered,1,False,No return
ORD-100072,2026-04-29,Ashley Higgins,richardgreen@example.net,9663934031,"0941 Hughes Mountain Apt. 328, Douglasland, PW 99087",Mechanical Keyboard,Accessories,Wholesale Portal,Metro Packaging,5,180.47,14,Delivered,3,False,No return
ORD-100073,2026-04-27,Kimberly Davidson,lynnsalinas@example.net,001-767-800-1781x25122,"Unit 9142 Box 1817, DPO AP 76335",USB-C Hub,Accessories,Shopify,BlueRiver Fulfillment,4,145.37,0,Delivered,6,False,No return
ORD-100074,2026-04-24,Dr. James Benson,john75@example.org,(282)246-4213,"72050 Christine Drives, Emilyhaven, WV 99120",Smart Scale,Warehouse,Phone Order,BlueRiver Fulfillment,3,426.18,35,Delivered,4,False,No return
ORD-100075,2026-03-31,David Gutierrez,scott38@example.org,(613)544-2269x4554,"380 Hill Extensions Suite 166, Mercadomouth, NV 40065",Mechanical Keyboard,Accessories,Phone Order,Metro Packaging,4,146.95,6,Delayed,12,False,No return
ORD-100076,2026-04-05,Jonathan Evans,andersonjustin@example.org,301.567.9000,"199 Melissa Mall Suite 887, Ericaville, VT 66193",Mechanical Keyboard,Accessories,Phone Order,Northstar Supply,3,105.04,18,Delivered,3,False,No return
ORD-100077,2026-03-17,Cindy Gonzales,gmeyer@example.com,956-738-4390x348,"5724 Stewart Lights Apt. 753, Jonesland, WA 72336",Wireless Mouse,Accessories,Phone Order,Northstar Supply,3,119.7,88,Delivered,5,False,No return
ORD-100078,2026-04-23,Diane Warner,daniellerivera@example.com,281.421.4093,"8226 Rebecca Field Apt. 217, Gabrielleside, MH 94300",USB-C Hub,Accessories,Shopify,BlueRiver Fulfillment,3,111.95,55,Delivered,7,False,No return
ORD-100079,2026-03-15,Thomas Harris,bryanalan@example.org,001-939-236-9375x024,"USS Roberson, FPO AP 81508",USB-C Hub,Accessories,Wholesale Portal,BlueRiver Fulfillment,6,213.33,27,Delivered,4,False,No return
ORD-100080,2026-03-13,Virginia Daniels,cheryl68@example.org,7218822371,"163 Hansen Turnpike Suite 102, Port Joanside, MN 80800",Wireless Mouse,Accessories,Phone Order,Northstar Supply,6,205.4,40,Delivered,5,False,No return
ORD-100081,2026-05-06,Barbara Martinez,osmith@example.com,(832)901-2496x235,"944 April Highway, Port Tiffany, OK 32756",Laptop Stand,Accessories,Shopify,Evergreen Wholesale,5,186.76,10,Delivered,7,False,No return
ORD-100082,2026-05-05,Daniel Moody,garciamichael@example.com,569.499.4260x515,"670 Olivia River, South Annaland, MI 74787",Smart Scale,Warehouse,Amazon Marketplace,BlueRiver Fulfillment,6,798.98,82,Delivered,2,False,No return
ORD-100083,2026-03-10,Caleb Chaney,xkelly@example.org,770-826-2247x6250,"582 Whitehead Summit, West Theodore, VI 38955",Smart Scale,Warehouse,Phone Order,Northstar Supply,4,535.54,45,Delivered,1,False,No return
ORD-100084,2026-04-24,Benjamin Haley,jennifer94@example.com,599.294.9682x343,"888 Smith Corners, Morsefurt, ID 99570",Wireless Mouse,Accessories,Amazon Marketplace,Northstar Supply,6,209.96,73,Delivered,4,False,No return
ORD-100085,2026-04-11,Madison Lambert,lindarobles@example.net,(824)706-1337x514,"70189 Morrow Place Apt. 316, Michaelton, TX 46154",Barcode Scanner,Warehouse,Wholesale Portal,Metro Packaging,1,59.8,46,Delivered,4,True,Changed mind
ORD-100086,2026-04-10,Chad Peters,bruce15@example.com,001-217-871-0792x490,"13046 Smith Street, West Monicaside, ID 42042",Desk Lamp,Office,Wholesale Portal,BlueRiver Fulfillment,7,333.18,30,Delivered,1,False,No return
ORD-100087,2026-04-25,Melinda Palmer,jimpowell@example.org,001-990-657-4868x9447,"26403 Jessica Junction, East Jessica, VT 04695",Smart Scale,Warehouse,Shopify,Northstar Supply,6,784.64,54,Delivered,6,False,No return
ORD-100088,2026-03-09,Tina Irwin,jonesrobert@example.org,(769)619-1463x244,"4263 Martin Isle Suite 672, Janetton, GU 19886",Wireless Mouse,Accessories,Wholesale Portal,Metro Packaging,6,210.86,71,Delivered,5,False,No return
ORD-100089,2026-03-30,Christopher Hartman,crossmegan@example.net,(820)274-8023,"7042 Rachel Canyon, West Angela, CO 42072",USB-C Hub,Accessories,Phone Order,BlueRiver Fulfillment,6,218.11,23,Delivered,4,False,No return
ORD-100090,2026-05-02,Cassandra Wu,dennisjeffrey@example.net,001-877-610-6557x2855,"4294 Diaz Rapid Apt. 455, West Robert, WV 78567",Wireless Mouse,Accessories,Amazon Marketplace,Cascade Imports,4,142.63,69,Delivered,4,False,No return
ORD-100091,2026-03-23,Wayne Clark,amy51@example.org,645-227-6204x727,"994 Brett Gateway, Andersonside, NY 01568",Reusable Mailer,Packaging,Wholesale Portal,Metro Packaging,4,71.44,26,Delayed,11,True,Changed mind
ORD-100092,2026-03-31,Renee Heath,andreshall@example.net,+1-922-954-2813x685,"663 Le Forges, Williamport, PW 32495",Laptop Stand,Accessories,Amazon Marketplace,Cascade Imports,7,253.82,45,Delivered,5,False,No return
ORD-100093,2026-05-05,Barry Barron,freemankristen@example.com,8658585140,"8689 Cortez Mountain Apt. 977, West Tammy, NC 35916",Wireless Mouse,Accessories,Phone Order,Cascade Imports,5,187.71,58,Delivered,5,False,No return
ORD-100094,2026-05-09,Barbara Anderson,mrodriguez@example.org,668-809-6447x6976,"28413 Ana Meadow Suite 964, Hornehaven, NY 37130",Mechanical Keyboard,Accessories,Phone Order,Northstar Supply,2,70.15,15,Delivered,1,False,No return
ORD-100095,2026-03-03,Dean Holland,randolphcourtney@example.org,+1-335-632-1764x970,"28352 Michael Knolls, Alisonfort, NV 41785",Mechanical Keyboard,Accessories,Wholesale Portal,BlueRiver Fulfillment,5,180.97,4,Delivered,6,False,No return
ORD-100096,2026-03-31,Miranda Martinez,john46@example.org,9619093812,"450 Baxter Summit Suite 395, North Joycetown, MS 67052",Reusable Mailer,Packaging,Shopify,Evergreen Wholesale,3,46.79,55,Delivered,2,False,No return
ORD-100097,2026-04-06,Michelle Myers,phayes@example.com,+1-870-551-8300x84321,"29947 Wayne Highway, Madisonshire, VA 88931",Smart Scale,Warehouse,Amazon Marketplace,Cascade Imports,7,989.67,0,Delivered,1,False,No return
ORD-100098,2026-03-04,Juan Moore,smithedwin@example.com,903.238.6330x26058,"8002 Murphy Tunnel Apt. 174, West Douglasmouth, NE 29260",Packing Tape,Packaging,Wholesale Portal,Cascade Imports,7,123.88,62,Delivered,4,False,No return
ORD-100099,2026-04-16,Andrew Rodriguez,darlene80@example.net,(315)522-9595,"25368 Petersen Drives, West Michellechester, MP 46742",Smart Scale,Warehouse,Wholesale Portal,Metro Packaging,7,956.82,64,Delivered,4,False,No return
ORD-100100,2026-04-17,Michelle Garrison,lhaney@example.net,937.203.0999x979,"14101 Maria Trail, Thomasberg, ME 83514",Smart Scale,Warehouse,Shopify,Cascade Imports,7,998.55,40,Delivered,2,False,No return
ORD-100101,2026-04-29,Brian Brown,rebecca42@example.net,001-999-864-4672x5198,"2593 Brenda Place, South Colleen, NY 42963",Packing Tape,Packaging,Shopify,Metro Packaging,6,111.69,58,Delivered,3,False,No return
ORD-100102,2026-05-03,Brian Patel,marquezvincent@example.com,542.790.4198,"25230 Turner Fords, Hutchinsonland, GU 65602",Wireless Mouse,Accessories,Phone Order,Cascade Imports,1,34.94,0,Delivered,5,False,No return
ORD-100103,2026-05-08,Harold Hays,sarah59@example.net,001-849-519-1165x968,"189 Cannon Club, West Katiestad, GA 42408",Mechanical Keyboard,Accessories,Shopify,Metro Packaging,6,202.66,13,Delivered,1,False,No return
ORD-100104,2026-04-26,Thomas Moore,sergiohorton@example.net,332-531-9891x7733,"5530 Nicole Union Suite 222, Brianchester, KS 16270",Packing Tape,Packaging,Shopify,Cascade Imports,7,126.89,78,Delivered,6,False,No return
ORD-100105,2026-05-04,Michael Ramirez,hansontiffany@example.org,001-211-718-8198x568,"USCGC Schmidt, FPO AE 43054",USB-C Hub,Accessories,Wholesale Portal,BlueRiver Fulfillment,4,137.07,47,Delivered,6,False,No return
ORD-100106,2026-03-03,Priscilla Parker,richdaniel@example.net,(831)398-4158x574,"6989 Smith Park Suite 578, Robertville, NM 40214",Smart Scale,Warehouse,Amazon Marketplace,BlueRiver Fulfillment,1,119.2,22,Delayed,6,False,No return
ORD-100107,2026-04-29,William Waters,matthew44@example.net,001-388-946-7634x842,"PSC 6530, Box 7789, APO AE 76584",USB-C Hub,Accessories,Phone Order,Metro Packaging,1,43.23,10,Delivered,7,False,No return
ORD-100108,2026-03-19,Tracy Martinez,robertmcdonald@example.net,557-516-2903x955,"3055 Mccoy Squares, Port Jeffrey, WV 72631",USB-C Hub,Accessories,Amazon Marketplace,Northstar Supply,4,134.64,41,Delivered,4,False,No return
ORD-100109,2026-03-04,Eric Graham,pramirez@example.net,902-768-2070,"837 Kerry Squares Suite 674, Jonesstad, IL 20536",Packing Tape,Packaging,Amazon Marketplace,Northstar Supply,4,76.18,31,Delivered,2,False,No return
ORD-100110,2026-04-19,Daniel White,schroederbarry@example.net,001-937-360-3120,"2941 Sharon Square, Christophermouth, CO 76326",Mechanical Keyboard,Accessories,Phone Order,Northstar Supply,3,102.11,40,Delivered,4,False,No return
ORD-100111,2026-05-08,Wendy Dodson,lford@example.com,(986)465-2151x194,"09491 Berger Manors, West Kristyview, NV 13887",Barcode Scanner,Warehouse,Phone Order,Cascade Imports,7,992.67,36,Delivered,6,False,No return
ORD-100112,2026-04-10,Nicole Stewart,martinezmargaret@example.com,278-203-1424x575,"890 Sheila Streets Suite 242, Zimmermanton, HI 10848",Packing Tape,Packaging,Shopify,Metro Packaging,3,58.8,72,Delivered,3,False,No return
ORD-100113,2026-04-10,Oscar Phillips,utrujillo@example.org,257-834-3998,"1892 Edward Estates, Lake Tonyborough, VT 73957",USB-C Hub,Accessories,Wholesale Portal,Northstar Supply,2,70.82,93,Delivered,4,False,No return
ORD-100114,2026-03-11,Thomas Bray,tylerpitts@example.net,+1-710-796-4203x9266,"80040 Clayton Island, East Jeremy, VI 34470",USB-C Hub,Accessories,Wholesale Portal,Evergreen Wholesale,1,36.62,71,Delivered,4,False,No return
ORD-100115,2026-03-09,Benjamin Thomas,pwhite@example.net,3925341641,"62010 Schwartz Grove, South Thomasside, HI 98576",Packing Tape,Packaging,Shopify,Cascade Imports,5,91.5,52,Delivered,3,False,No return
